fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
15,S17,740,7,abl_no_snn,2,13432.23,0.856,5,0.45,0.2452,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.378482860326767, 0.6796213626861572, 0.647662353515625, 0.5975589632987977, 0.41443052887916565, 0.6997570991516113, 0.5675607025623322]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43070373279707763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.319999107381116
16,S18,722,14,abl_no_snn,2,17454.22,0.857,5,0.46,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.4366176903247833, 0.7666205644607544, 0.262404191493988, 0.4775341868400574, 0.3214094042778015, 0.33729869723320005, 0.3646863639354706, 0.6150062561035157, 0.5411533236503601, 0.6498738408088685, 0.303212383389473, 0.7458215713500976, 0.6259012341499328, 0.6973523259162903]",0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9183673469387754,0.9480519480519478,0.4241010438118662,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9183673469387754,0.9480519480519478,0.4872237537939436
17,S19,724,17,abl_no_snn,2,10302.05,0.857,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.5201601922512055, 0.5169875741004943, 0.5147426009178162, 0.5216310262680054, 0.5086666584014893, 0.5224567174911499, 0.5178710579872131, 0.5177042841911316, 0.5215986132621765, 0.5163041293621063, 0.5203258514404296, 0.5264595985412598, 0.5186820507049561, 0.5230185508728027, 0.5202916502952576, 0.523879885673523, 0.5168686091899872]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8428571428571429,0.8404761904761904,0.10750876770300033,0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8428571428571429,0.8404761904761904,0.10752293472216734
18,S20,728,7,abl_no_snn,2,19332.37,0.857,5,0.45,0.211,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1]","[0.13633711338043214, 0.1340959444642067, 0.15988453328609467, 0.31597437262535094, 0.17649927139282226, 0.38854363560676575, 0.6838549733161926]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.5721157365611621,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.7290334575011761
25,S27,726,7,abl_no_snn,4,17897.5,0.857,5,0.34,0.1527,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.38683478981256486, 0.36524562537670135, 0.29357137233018876, 0.6248544216156006, 0.36029440611600877, 0.27677579671144487, 0.700916051864624]",0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.6058880542005811,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8440892477290797
26,S28,744,7,abl_no_snn,4,15647.6,0.856,5,0.37,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.6149244010448456, 0.5365180432796478, 0.49730417132377625, 0.6160673141479492, 0.7386319756507873, 0.8061853647232056, 0.6862273812294006]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.34451651828629626,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.9166666666666666,0.9166666666666665,0.5028672097216653
27,S29,718,20,abl_no_snn,4,12823.16,0.858,5,0.49,0.0573,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.5788856267929077, 0.5797385752201081, 0.5967594623565674, 0.575978672504425, 0.5868940830230713, 0.5865420997142792, 0.5827435314655304, 0.5915083110332489, 0.5292619347572327, 0.5757852017879486, 0.5789111196994782, 0.5532130360603332, 0.5770011246204376, 0.6053779244422912, 0.6001976132392883, 0.5716742157936097, 0.5799067139625549, 0.5810361921787262, 0.532358032464981, 0.5248233497142791]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.8431372549019609,0.9713916562099953,0.2755701589584352,0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.8431372549019609,0.9713916562099953,0.12888843280194662
28,S30,704,13,abl_no_snn,4,15354.15,0.858,5,0.4,0.2024,0.5236,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.17634741663932801, 0.6317853093147278, 0.13972360789775848, 0.19053166806697847, 0.10671132823918014, 0.17338603585958481, 0.5875431418418884, 0.08966507953591644, 0.15834370600059627, 0.23902620300650596, 0.1391299782320857, 0.6800728678703308, 0.4046361863613129]",0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,1.0,1.0,0.7275525965244295,0.9230769230769231,0.6666666666666666,1.0,0.8,0.7547169811320754,0.778498944161523,0.9545454545454546,1.0,1.0,0.8138484126026722
30,S32,744,7,abl_no_snn,4,13784.75,0.856,5,0.45,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.5446411788463592, 0.38438994288444517, 0.4015244483947754, 0.522492915391922, 0.431066620349884, 0.48483286499977113, 0.6289640545845032]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5337651661464147,0.7142857142857143,0.3333333333333333,1.0,0.5,0.36363636363636376,0.47140452079103173,0.8333333333333333,1.0,1.0,0.8015004459572888
1,S01,726,15,abl_no_snn,0,16062.05,0.857,5,0.47,0.327,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[0.4070937752723694, 0.36961622834205626, 0.6032316207885742, 0.5897905826568604, 0.6767989516258239, 0.6545329570770264, 0.6755550026893615, 0.6127094030380249, 0.4284489870071411, 0.6057197213172912, 0.5666637778282165, 0.6627687931060791, 0.625340461730957, 0.6423631072044372, 0.6073982179164886]",0.9333333333333333,0.9166666666666666,1.0,0.9565217391304348,0.8148148148148149,0.82915619758885,0.875,0.8636363636363636,0.9406172110717566,0.3514645608266196,0.9333333333333333,0.9166666666666666,1.0,0.9565217391304348,0.8148148148148149,0.82915619758885,0.875,0.8636363636363636,0.9406172110717566,0.2631838416670092
