accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,threshold,pred_high_rate,true_high_rate,collapsed,method,fold,test_subject,n
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6228859956775393,0.5,0.0,0.42857142857142855,1,fixed_0p50,37,S39,7
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6228859956775393,0.41,0.0,0.42857142857142855,1,fold_val_threshold,37,S39,7
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6228859956775393,0.437,0.0,0.42857142857142855,1,fold_threshold_shrink,37,S39,7
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6228859956775393,0.41,0.0,0.42857142857142855,1,fold_threshold_clipped,37,S39,7
0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,1.0,1.0,0.6228859956775393,0.1668533205986023,0.5714285714285714,0.42857142857142855,0,subject_median_unsup,37,S39,7
0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,1.0,1.0,0.6228859956775393,0.1668533205986023,0.5714285714285714,0.42857142857142855,0,subject_prior_quantile_unsup,37,S39,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4736757452998842,0.5,0.14285714285714285,0.2857142857142857,0,fixed_0p50,38,S40,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4736757452998842,0.43,0.14285714285714285,0.2857142857142857,0,fold_val_threshold,38,S40,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4736757452998842,0.451,0.14285714285714285,0.2857142857142857,0,fold_threshold_shrink,38,S40,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4736757452998842,0.43,0.14285714285714285,0.2857142857142857,0,fold_threshold_clipped,38,S40,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.6,0.6666666666666666,0.4736757452998842,0.29502426236867907,0.5714285714285714,0.2857142857142857,0,subject_median_unsup,38,S40,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.6,0.6666666666666666,0.4736757452998842,0.29502426236867907,0.5714285714285714,0.2857142857142857,0,subject_prior_quantile_unsup,38,S40,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5935652909534317,0.5,0.14285714285714285,0.2857142857142857,0,fixed_0p50,40,S42,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5935652909534317,0.46,0.14285714285714285,0.2857142857142857,0,fold_val_threshold,40,S42,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5935652909534317,0.47200000000000003,0.14285714285714285,0.2857142857142857,0,fold_threshold_shrink,40,S42,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5935652909534317,0.46,0.14285714285714285,0.2857142857142857,0,fold_threshold_clipped,40,S42,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.7,0.7,0.5935652909534317,0.23838286697864533,0.5714285714285714,0.2857142857142857,0,subject_median_unsup,40,S42,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.7,0.7,0.5935652909534317,0.23838286697864533,0.5714285714285714,0.2857142857142857,0,subject_prior_quantile_unsup,40,S42,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3958296877997262,0.5,0.7142857142857143,0.7142857142857143,0,fixed_0p50,41,S43,7
0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.3958296877997262,0.31,0.8571428571428571,0.7142857142857143,0,fold_val_threshold,41,S43,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3958296877997262,0.367,0.7142857142857143,0.7142857142857143,0,fold_threshold_shrink,41,S43,7
0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.3958296877997262,0.35,0.8571428571428571,0.7142857142857143,0,fold_threshold_clipped,41,S43,7
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.3958296877997262,0.6321981847286224,0.5714285714285714,0.7142857142857143,0,subject_median_unsup,41,S43,7
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.3958296877997262,0.6321981847286224,0.5714285714285714,0.7142857142857143,0,subject_prior_quantile_unsup,41,S43,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6740308340638875,0.5,0.2857142857142857,0.14285714285714285,0,fixed_0p50,25,S27,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6740308340638875,0.55,0.2857142857142857,0.14285714285714285,0,fold_val_threshold,25,S27,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6740308340638875,0.535,0.2857142857142857,0.14285714285714285,0,fold_threshold_shrink,25,S27,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6740308340638875,0.55,0.2857142857142857,0.14285714285714285,0,fold_threshold_clipped,25,S27,7
0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.6740308340638875,0.26442240476608275,0.5714285714285714,0.14285714285714285,0,subject_median_unsup,25,S27,7
0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.6740308340638875,0.26442240476608275,0.5714285714285714,0.14285714285714285,0,subject_prior_quantile_unsup,25,S27,7
0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.5,0.8571428571428571,0.42857142857142855,0,fixed_0p50,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.13,1.0,0.42857142857142855,1,fold_val_threshold,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.24100000000000002,1.0,0.42857142857142855,1,fold_threshold_shrink,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.35,1.0,0.42857142857142855,1,fold_threshold_clipped,26,S28,7
0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.8050983190536499,0.5714285714285714,0.42857142857142855,0,subject_median_unsup,26,S28,7
0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.8050983190536499,0.5714285714285714,0.42857142857142855,0,subject_prior_quantile_unsup,26,S28,7
0.9,0.8947368421052632,1.0,0.9444444444444444,0.45945945945945954,0.5461186812727502,0.6666666666666666,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.5,0.95,0.85,0,fixed_0p50,27,S29,20
0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.35,1.0,0.85,1,fold_val_threshold,27,S29,20
0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.395,1.0,0.85,1,fold_threshold_shrink,27,S29,20
0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.35,1.0,0.85,1,fold_threshold_clipped,27,S29,20
0.65,1.0,0.5882352941176471,0.7407407407407407,0.30000000000000004,0.420084025208403,0.7941176470588236,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.6959695994853974,0.5,0.85,0,subject_median_unsup,27,S29,20
