accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,threshold,pred_high_rate,true_high_rate,collapsed,method,fold,test_subject,n
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.4495881838457925,0.5,0.0,0.42857142857142855,1,fixed_0p50,37,S39,7
0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.4495881838457925,0.47,0.14285714285714285,0.42857142857142855,0,fold_val_threshold,37,S39,7
0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.4495881838457925,0.479,0.0,0.42857142857142855,1,fold_threshold_shrink,37,S39,7
0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.4495881838457925,0.47,0.14285714285714285,0.42857142857142855,0,fold_threshold_clipped,37,S39,7
0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,1.0,1.0,0.4495881838457925,0.36295068860054014,0.5714285714285714,0.42857142857142855,0,subject_median_unsup,37,S39,7
0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,1.0,1.0,0.4495881838457925,0.36295068860054014,0.5714285714285714,0.42857142857142855,0,subject_prior_quantile_unsup,37,S39,7
0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.9,0.8333333333333333,0.3910111759390149,0.5,0.2857142857142857,0.2857142857142857,0,fixed_0p50,38,S40,7
0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,0.9,0.8333333333333333,0.3910111759390149,0.45,0.42857142857142855,0.2857142857142857,0,fold_val_threshold,38,S40,7
0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.9,0.8333333333333333,0.3910111759390149,0.465,0.2857142857142857,0.2857142857142857,0,fold_threshold_shrink,38,S40,7
0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,0.9,0.8333333333333333,0.3910111759390149,0.45,0.42857142857142855,0.2857142857142857,0,fold_threshold_clipped,38,S40,7
0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,0.9,0.8333333333333333,0.3910111759390149,0.4375433087348938,0.5714285714285714,0.2857142857142857,0,subject_median_unsup,38,S40,7
0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,0.9,0.8333333333333333,0.3910111759390149,0.4375433087348938,0.5714285714285714,0.2857142857142857,0,subject_prior_quantile_unsup,38,S40,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.4733710940395083,0.5,0.14285714285714285,0.2857142857142857,0,fixed_0p50,40,S42,7
0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.4733710940395083,0.47,0.2857142857142857,0.2857142857142857,0,fold_val_threshold,40,S42,7
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.4733710940395083,0.479,0.14285714285714285,0.2857142857142857,0,fold_threshold_shrink,40,S42,7
0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.4733710940395083,0.47,0.2857142857142857,0.2857142857142857,0,fold_threshold_clipped,40,S42,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.7,0.7,0.4733710940395083,0.39493186175823214,0.5714285714285714,0.2857142857142857,0,subject_median_unsup,40,S42,7
0.42857142857142855,0.25,0.5,0.3333333333333333,-0.07692307692307687,-0.09128709291752768,0.45,0.7,0.7,0.4733710940395083,0.39493186175823214,0.5714285714285714,0.2857142857142857,0,subject_prior_quantile_unsup,40,S42,7
0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.25715592588697156,0.5,0.8571428571428571,0.7142857142857143,0,fixed_0p50,41,S43,7
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.25715592588697156,0.42,1.0,0.7142857142857143,1,fold_val_threshold,41,S43,7
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.25715592588697156,0.444,1.0,0.7142857142857143,1,fold_threshold_shrink,41,S43,7
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.25715592588697156,0.42,1.0,0.7142857142857143,1,fold_threshold_clipped,41,S43,7
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.25715592588697156,0.6025472402572631,0.5714285714285714,0.7142857142857143,0,subject_median_unsup,41,S43,7
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.25715592588697156,0.6025472402572631,0.5714285714285714,0.7142857142857143,0,subject_prior_quantile_unsup,41,S43,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.5900791298065866,0.5,0.2857142857142857,0.14285714285714285,0,fixed_0p50,25,S27,7
0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.5900791298065866,0.39,0.7142857142857143,0.14285714285714285,0,fold_val_threshold,25,S27,7
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.5900791298065866,0.423,0.2857142857142857,0.14285714285714285,0,fold_threshold_shrink,25,S27,7
0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.5900791298065866,0.39,0.7142857142857143,0.14285714285714285,0,fold_threshold_clipped,25,S27,7
0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5900791298065866,0.40442020893096925,0.5714285714285714,0.14285714285714285,0,subject_median_unsup,25,S27,7
0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5900791298065866,0.40442020893096925,0.5714285714285714,0.14285714285714285,0,subject_prior_quantile_unsup,25,S27,7
0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.75,0.7555555555555555,0.3697210669517517,0.5,0.7142857142857143,0.42857142857142855,0,fixed_0p50,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.3697210669517517,0.31,1.0,0.42857142857142855,1,fold_val_threshold,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.3697210669517517,0.367,1.0,0.42857142857142855,1,fold_threshold_shrink,26,S28,7
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.3697210669517517,0.35,1.0,0.42857142857142855,1,fold_threshold_clipped,26,S28,7
