method,n_folds,collapsed_folds,mean_threshold,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,balanced_acc_mean,balanced_acc_std,balanced_acc_min,balanced_acc_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,kappa_mean,kappa_std,kappa_min,kappa_max,mcc_mean,mcc_std,mcc_min,mcc_max,ece_mean,ece_std,ece_min,ece_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max
fixed_0p50,37,6,0.5,0.7971886155709687,0.14608065400062656,0.5,1.0,0.6739516292049644,0.3092700828656242,0.0,1.0,0.7531253656253657,0.18023245498913618,0.4,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.4723566952508849,0.35326648704878744,-0.19999999999999996,1.0,0.5070255393841311,0.3540606904337532,-0.2,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.7081666081666083,0.3486725809863168,0.0,1.0,0.7028635778635779,0.3482202730299102,0.0,1.0
fold_val_threshold,37,8,0.43135135135135133,0.7532347554406378,0.18432659989713926,0.375,1.0,0.6879836579428756,0.27852841573968373,0.0,1.0,0.7398049023049023,0.1886455979622088,0.375,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.42644670662539785,0.36618995107321084,-0.25,1.0,0.4631089866077063,0.36900770460644483,-0.3779644730092272,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.6750522397581221,0.32677498913865416,0.0,1.0,0.8051158301158301,0.3056726307436719,0.0,1.0
fold_threshold_shrink,37,9,0.451945945945946,0.7628872650931474,0.17078360963706696,0.3333333333333333,1.0,0.6620430820022997,0.30321685182220565,0.0,1.0,0.7252939627939629,0.19795621088497267,0.2,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.4143055918958714,0.36146936899588133,-0.33333333333333326,1.0,0.4465432610250041,0.37189751199885496,-0.4472135954999579,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.6648205795264619,0.34478885283096383,0.0,1.0,0.7382561132561133,0.3511028231303434,0.0,1.0
fold_threshold_clipped,37,7,0.44648648648648637,0.7570957593016416,0.1849831020270177,0.375,1.0,0.7060016759608936,0.2531979742540679,0.0,1.0,0.746561659061659,0.18424366251403293,0.375,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.4423449578177666,0.3598761257014932,-0.25,1.0,0.48055485753656857,0.36169105035529564,-0.3779644730092272,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.7020792667851492,0.31033210975471104,0.0,1.0,0.8186293436293436,0.2789770336930718,0.0,1.0
subject_median_unsup,37,0,0.4658758899650058,0.7105548664372194,0.1459125388583488,0.3333333333333333,1.0,0.6815847947426895,0.20587803519831768,0.0,1.0,0.7667606969077557,0.15770632130622836,0.2,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.4288057228687763,0.28210271639032614,-0.33333333333333326,1.0,0.4772047391130049,0.29072402498381866,-0.4472135954999579,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.6674710424710425,0.2906802310054429,0.0,1.0,0.7976403829345007,0.21989861259304808,0.0,1.0
subject_prior_quantile_unsup,37,0,0.4658758899650058,0.7105548664372194,0.1459125388583488,0.3333333333333333,1.0,0.6815847947426895,0.20587803519831768,0.0,1.0,0.7667606969077557,0.15770632130622836,0.2,1.0,0.9014208447506765,0.13760409374310129,0.4,1.0,0.9090176512843563,0.16215363152644433,0.25,1.0,0.4288057228687763,0.28210271639032614,-0.33333333333333326,1.0,0.4772047391130049,0.29072402498381866,-0.4472135954999579,1.0,0.4181881037164186,0.14528393880776816,0.15311779635293143,0.6829877336819965,0.6674710424710425,0.2906802310054429,0.0,1.0,0.7976403829345007,0.21989861259304808,0.0,1.0
