strategy,n_folds,balanced_acc_mean,balanced_acc_sd,mcc_mean,mcc_sd,f1_mean,f1_sd,accuracy_mean,accuracy_sd,delta_balacc_vs_fixed,p_vs_fixed,delta_balacc_vs_val,p_vs_val
fixed_0.5,37,0.7531253656253657,0.18023245498913618,0.5070255393841311,0.3540606904337532,0.6739516292049644,0.3092700828656242,0.7971886155709687,0.14608065400062656,0.0,1.0,0.0,1.0
val_subject,37,0.7531253656253657,0.18023245498913618,0.5070255393841311,0.3540606904337532,0.6739516292049644,0.3092700828656242,0.7971886155709687,0.14608065400062656,0.0,1.0,0.0,1.0
train_prior_quantile,37,0.7667606969077557,0.15770632130622836,0.4772047391130049,0.29072402498381866,0.6815847947426895,0.20587803519831768,0.7105548664372194,0.1459125388583488,0.013635331282390094,0.9180518974306269,0.013635331282390094,0.9180518974306269
online_quantile[k=2],37,0.7495478289595937,0.1565826652828489,0.46695630209902156,0.2852299754961868,0.6957869871662975,0.18899242965369986,0.7194334282569576,0.1263846398048774,-0.0035775366657719585,0.46854811332351953,-0.0035775366657719585,0.46854811332351953
online_median[k=2],37,0.7495478289595937,0.1565826652828489,0.46695630209902156,0.2852299754961868,0.6957869871662975,0.18899242965369986,0.7194334282569576,0.1263846398048774,-0.0035775366657719585,0.46854811332351953,-0.0035775366657719585,0.46854811332351953
online_quantile[k=3],37,0.7684667478785125,0.15280689249505094,0.5024431870791497,0.29511907310848423,0.7176260340053443,0.20253336458242086,0.7506432094667388,0.1295656604322301,0.015341382253146962,0.8966976879560881,0.015341382253146962,0.8966976879560881
online_median[k=3],37,0.7684667478785125,0.15280689249505094,0.5024431870791497,0.29511907310848423,0.7176260340053443,0.20253336458242086,0.7506432094667388,0.1295656604322301,0.015341382253146962,0.8966976879560881,0.015341382253146962,0.8966976879560881
online_quantile[k=5],37,0.7719738263855911,0.16511128918818324,0.5164428475617551,0.31584089136345694,0.7119427099009676,0.23555792511763907,0.7731409819645113,0.1310243135253867,0.01884846076022547,0.536367414065144,0.01884846076022547,0.536367414065144
online_median[k=5],37,0.7719738263855911,0.16511128918818324,0.5164428475617551,0.31584089136345694,0.7119427099009676,0.23555792511763907,0.7731409819645113,0.1310243135253867,0.01884846076022547,0.536367414065144,0.01884846076022547,0.536367414065144
