grid,n_cells,n_epochs,max_cell_share,norm_entropy,empty_cells_frac,rho_concentration_vs_ref,rho_entropy_vs_ref
2x1,2,385,0.7367144823074341,0.705400747646163,0.05974025974025974,0.5550818191392457,0.34917792905853107
3x2,6,385,0.5136915445327759,0.7963274160946474,0.30995670995670993,0.8235780934665281,0.7095876323508076
5x2,10,385,0.4121430516242981,0.8266799983218177,0.4101298701298701,0.9999999999999999,1.0
4x3,12,385,0.40308868885040283,0.8168271477984286,0.44632034632034634,0.704705547068281,0.49327749646726327
6x4,24,385,0.31897276639938354,0.8321260407518355,0.5844155844155844,0.7126801728011773,0.5522132174819999
8x6,48,385,0.28848978877067566,0.8194828006587399,0.7226731601731602,0.7652761540346917,0.6068972478298903
10x8,80,385,0.2252597212791443,0.8327009221603768,0.763538961038961,0.7179187232331592,0.5422565776192719
