tau,subject,density_mean,mean_degree,isolated_nodes_mean
0.1,S01,0.8656140350877191,15.581052631578947,0.0
0.1,S02,0.8853801169590643,15.936842105263159,0.0
0.1,S03,0.8495126705653021,15.291228070175439,0.0
0.1,S05,0.8534356725146198,15.361842105263158,0.0
0.1,S06,0.8339912280701753,15.011842105263158,0.0
0.1,S07,0.8519632414369257,15.335338345864661,0.0
0.1,S08,0.8566885964912281,15.420394736842105,0.0
0.1,S09,0.8497660818713447,15.295789473684211,0.0
0.1,S10,0.889766081871345,16.01578947368421,0.0
0.1,S12,0.8521303258145363,15.338345864661655,0.0
0.1,S13,0.8324561403508771,14.98421052631579,0.0
0.1,S14,0.835453216374269,15.038157894736843,0.0
0.1,S15,0.8499025341130604,15.298245614035087,0.0
0.1,S16,0.8642543859649123,15.55657894736842,0.0
0.1,S17,0.8574770258980783,15.434586466165413,0.0
0.1,S18,0.8642021720969089,15.555639097744361,0.0
0.1,S19,0.8394564843481251,15.110216718266253,0.0
0.1,S20,0.8462823725981621,15.233082706766917,0.0
0.1,S21,0.8264132553606238,14.875438596491229,0.0
0.1,S22,0.8235171261487052,14.823308270676693,0.0
0.1,S23,0.8303118908382067,14.945614035087718,0.0
0.1,S24,0.8392262708052182,15.106072874493927,0.0
0.1,S25,0.8362990810359232,15.053383458646616,0.0
0.1,S26,0.8589807852965748,15.461654135338346,0.0
0.1,S27,0.8425229741019215,15.165413533834586,0.0
0.1,S28,0.8897243107769421,16.015037593984964,0.014285714285714285
0.1,S29,0.8604970760233916,15.488947368421053,0.0
0.1,S30,0.8483130904183537,15.269635627530365,0.0
0.1,S31,0.82156432748538,14.788157894736843,0.0
0.1,S32,0.8924812030075187,16.06466165413534,0.0
0.1,S33,0.8276803118908382,14.898245614035087,0.0
0.1,S34,0.9245614035087718,16.642105263157895,0.0
0.1,S35,0.8758284600389863,15.764912280701754,0.0
0.1,S36,0.8817042606516292,15.870676691729324,0.0
0.1,S37,0.867251461988304,15.610526315789473,0.0
0.1,S38,0.8620467836257307,15.516842105263159,0.0
0.1,S39,0.8244778613199667,14.840601503759398,0.0
0.1,S40,0.8203842940685047,14.766917293233083,0.0
0.1,S41,0.8730994152046783,15.715789473684211,0.0
0.1,S42,0.8672514619883039,15.610526315789473,0.0
0.1,S43,0.8399331662489558,15.118796992481203,0.0
0.1,S44,0.8439431913116123,15.190977443609022,0.0
0.15,S01,0.7986354775828459,14.375438596491229,0.006666666666666667
0.15,S02,0.8287385129490392,14.917293233082706,0.0
0.15,S03,0.7827485380116959,14.089473684210526,0.0
0.15,S05,0.7814327485380117,14.06578947368421,0.0
0.15,S06,0.755190058479532,13.593421052631578,0.0125
0.15,S07,0.7782790309106098,14.009022556390978,0.0
0.15,S08,0.7890716374269007,14.20328947368421,0.00625
0.15,S09,0.7794736842105265,14.030526315789473,0.0
0.15,S10,0.8344541910331384,15.02017543859649,0.008333333333333333
0.15,S12,0.7829573934837092,14.093233082706767,0.0
0.15,S13,0.7518518518518517,13.533333333333333,0.0
0.15,S14,0.7593567251461989,13.66842105263158,0.0
0.15,S15,0.7806042884990255,14.050877192982457,0.0
0.15,S16,0.79656432748538,14.338157894736842,0.0
0.15,S17,0.7827903091060986,14.090225563909774,0.0
0.15,S18,0.7939014202172098,14.290225563909775,0.0
0.15,S19,0.7628826969384246,13.73188854489164,0.011764705882352941
0.15,S20,0.7700918964076859,13.861654135338346,0.0
0.15,S21,0.7379142300194932,13.282456140350877,0.05
0.15,S22,0.7383458646616541,13.290225563909775,0.0
0.15,S23,0.7466374269005848,13.439473684210526,0.0
0.15,S24,0.7641925326135853,13.755465587044535,0.0
0.15,S25,0.7519214703425229,13.534586466165413,0.0
0.15,S26,0.7868838763575605,14.16390977443609,0.0
0.15,S27,0.7600668337510443,13.681203007518796,0.0
0.15,S28,0.8291562238930662,14.924812030075188,0.014285714285714285
0.15,S29,0.7919883040935674,14.25578947368421,0.005
0.15,S30,0.7721547458389564,13.898785425101215,0.0
0.15,S31,0.7396198830409357,13.313157894736841,0.025
0.15,S32,0.8392648287385129,15.106766917293234,0.014285714285714285
0.15,S33,0.7416179337231968,13.349122807017544,0.0
0.15,S34,0.8898913951545531,16.018045112781955,0.0
0.15,S35,0.8165692007797271,14.698245614035088,0.0
0.15,S36,0.8233918128654969,14.821052631578947,0.0
0.15,S37,0.8065058479532163,14.517105263157895,0.0
0.15,S38,0.7901169590643273,14.222105263157895,0.0
0.15,S39,0.7408521303258145,13.335338345864661,0.0
0.15,S40,0.7313283208020049,13.16390977443609,0.014285714285714285
0.15,S41,0.8118258609486679,14.612865497076024,0.0
0.15,S42,0.7994987468671679,14.390977443609023,0.0
0.15,S43,0.7648287385129491,13.766917293233083,0.0
0.15,S44,0.768170426065163,13.827067669172932,0.0
0.2,S01,0.7311500974658869,13.160701754385965,0.006666666666666667
0.2,S02,0.770843776106934,13.875187969924813,0.04285714285714286
0.2,S03,0.7148148148148149,12.866666666666667,0.05
0.2,S05,0.7073830409356725,12.732894736842105,0.0625
0.2,S06,0.6817982456140351,12.272368421052631,0.1375
0.2,S07,0.7080200501253133,12.74436090225564,0.014285714285714285
0.2,S08,0.7226608187134502,13.007894736842106,0.08125
0.2,S09,0.7043859649122808,12.678947368421053,0.02
0.2,S10,0.7802144249512671,14.043859649122806,0.03333333333333333
0.2,S12,0.710108604845447,12.781954887218046,0.014285714285714285
0.2,S13,0.6777777777777778,12.2,0.0
0.2,S14,0.6819444444444444,12.275,0.0875
0.2,S15,0.7035087719298244,12.663157894736843,0.08333333333333333
0.2,S16,0.7298245614035087,13.136842105263158,0.0625
0.2,S17,0.7096073517126148,12.772932330827068,0.0
0.2,S18,0.7278195488721805,13.100751879699247,0.007142857142857143
0.2,S19,0.6861369109047127,12.35046439628483,0.07647058823529412
0.2,S20,0.6947368421052631,12.505263157894737,0.04285714285714286
0.2,S21,0.6555555555555556,11.8,0.21666666666666667
0.2,S22,0.6590643274853801,11.863157894736842,0.04285714285714286
0.2,S23,0.660916179337232,11.896491228070175,0.016666666666666666
0.2,S24,0.6853351327035537,12.336032388663968,0.038461538461538464
0.2,S25,0.6678780284043441,12.021804511278196,0.03571428571428571
0.2,S26,0.7227234753550543,13.009022556390978,0.07142857142857142
0.2,S27,0.6820384294068506,12.276691729323309,0.0
0.2,S28,0.7742690058479533,13.936842105263159,0.02857142857142857
0.2,S29,0.7249122807017543,13.048421052631578,0.04
0.2,S30,0.6977058029689608,12.558704453441296,0.023076923076923078
0.2,S31,0.6495614035087719,11.692105263157895,0.0625
0.2,S32,0.7848788638262322,14.12781954887218,0.08571428571428572
0.2,S33,0.6551656920077972,11.79298245614035,0.06666666666666667
0.2,S34,0.8545530492898913,15.381954887218045,0.04285714285714286
0.2,S35,0.7478557504873293,13.46140350877193,0.016666666666666666
0.2,S36,0.7654135338345864,13.777443609022557,0.0
0.2,S37,0.7429824561403509,13.373684210526315,0.1125
0.2,S38,0.719766081871345,12.955789473684211,0.0
0.2,S39,0.6581453634085211,11.846616541353383,0.08571428571428572
0.2,S40,0.6431913116123642,11.577443609022556,0.07142857142857142
0.2,S41,0.7462638076673164,13.432748538011696,0.0
0.2,S42,0.7348370927318296,13.227067669172932,0.014285714285714285
