tau,n_windows,density_mean,density_sd,mean_degree,mean_degree_sd,isolated_nodes_mean,frac_windows_any_isolated,frac_windows_mean_deg_below_min,frac_windows_empty
0.1,3850,0.8532361206045416,0.05979622407594991,15.35825017088175,1.0763320333670985,0.00025974025974025974,0.00025974025974025974,0.0,0.0
0.15,3850,0.7814293309030151,0.08447197589811009,14.065727956254271,1.5204955661659818,0.003896103896103896,0.003896103896103896,0.0,0.0
0.2,3850,0.7099567099567099,0.10808196695222466,12.779220779220779,1.9454754051400438,0.04597402597402597,0.044415584415584415,0.0,0.0
0.25,3850,0.639889116731222,0.12933554107346162,11.518004101161996,2.3280397393223096,0.18961038961038962,0.16935064935064936,0.0,0.0
0.3,3850,0.5715181894129262,0.14781557714137802,10.287327409432672,2.6606803885448045,0.5135064935064935,0.3748051948051948,0.0,0.0
0.35,3850,0.5059390901496165,0.164053334125417,9.106903622693096,2.952960014257506,1.0922077922077922,0.6028571428571429,0.0,0.0
0.4,3850,0.4429346092503987,0.1766764604296219,7.972822966507177,3.1801762877331945,2.0114285714285716,0.7755844155844156,0.003116883116883117,0.0
0.45,3850,0.38298625351256926,0.18671832670205182,6.893752563226247,3.3609298806369323,3.2664935064935063,0.874025974025974,0.03428571428571429,0.0
0.5,3850,0.32686868686868686,0.19330740299572877,5.883636363636364,3.4795332539231185,4.906493506493507,0.9298701298701298,0.13402597402597402,0.0
0.6,3850,0.2272453861927546,0.19583151193066717,4.090416951469583,3.5249672147520092,8.915584415584416,0.9651948051948052,0.5166233766233767,0.0
0.7,3850,0.14499126604389764,0.18295624165780044,2.609842788790157,3.2932123498404087,13.171688311688312,0.9761038961038961,0.7945454545454546,0.0
