model,bal_acc_pf,auc_pf,mcc_pf,bal_acc_pool,auc_pool,mcc_pool,f1_pool,acc_pool
Logistic Regression,0.5374359668109668,0.5406149762935477,0.07060069915995815,0.5096247267427738,0.5090174884624726,0.01924770037431455,0.5136612021857924,0.509641873278237
SVM (RBF),0.507957251082251,0.5176206420068027,0.007649934049929664,0.430881102744717,0.4049368472188486,-0.14217748053554477,0.4950980392156863,0.4325068870523416
Random Forest,0.5149296536796537,0.540980471165739,0.01641546774452808,0.49339628370172456,0.4792172698566918,-0.013217469098596986,0.4860335195530726,0.4931129476584022
