variant,full_mean,var_mean,delta,wilcoxon_p,n_paired
no_snn,0.7081666081666083,0.7489022636081459,0.04073565544153768,0.9592477380355144,37
no_graph,0.7081666081666083,0.6247100398416188,-0.08345656832498949,0.001362545022779016,37
no_neuro_symbolic,0.7081666081666083,0.7757049257049257,0.0675383175383174,0.2083737413613429,37
no_et,0.7081666081666083,0.6532682032682033,-0.05489840489840492,0.07858087017864877,37
no_roi,0.7081666081666083,0.7446434593493417,0.03647685118273347,0.8610521238150397,37
no_fusion_transformer,0.7081666081666083,0.7230587730587731,0.014892164892164828,0.9527235817670947,37
no_contrastive,0.7081666081666083,0.7437542584601409,0.03558765029353261,0.7553063543574258,37
no_mmd,0.7081666081666083,0.6940701587760412,-0.01409644939056709,0.11224606937759189,37
