variant,full_mean,var_mean,delta,wilcoxon_p,n_paired
no_snn,0.17287157969079534,0.17779798749683287,0.004926407806037536,0.06991694912721869,37
no_graph,0.17287157969079534,0.18404032694671385,0.011168747255918515,0.24243603722425178,37
no_neuro_symbolic,0.17287157969079534,0.1764358275360429,0.003564247845247559,0.2363829233654542,37
no_et,0.17287157969079534,0.2037777868990535,0.030906207208258152,1.1551601346582174e-06,37
no_roi,0.17287157969079534,0.17845815036631052,0.0055865706755151845,0.12485022521286737,37
no_fusion_transformer,0.17287157969079534,0.1716315917786111,-0.0012399879121842428,0.6224952509219293,37
no_contrastive,0.17287157969079534,0.1768702856834561,0.003998705992660778,0.19692386346287094,37
no_mmd,0.17287157969079534,0.17730830069722692,0.004436721006431582,0.12485022521286737,37
