variant,n_paired,full_bal_acc,var_bal_acc,delta_bal_acc,wilcoxon_p_bal_acc,delta_mcc,wilcoxon_p_mcc
no_graph,37,0.7531253656253657,0.6963378963378963,-0.05678746928746936,0.0073039015571732275,-0.11015159475020625,0.005503289005208496
no_contrastive,37,0.7531253656253657,0.7290101790101791,-0.024115186615186635,0.15869466197611393,-0.02773524045073572,0.42072176914087644
no_mmd,37,0.7531253656253657,0.7314174564174564,-0.021707909207909326,0.3004071129278053,-0.03711492700579494,0.21452526545009087
no_et,37,0.7531253656253657,0.7348870260634967,-0.018238339561869044,0.25472647171402363,-0.03711701349100888,0.2789649507806645
no_snn,37,0.7531253656253657,0.7522142272142271,-0.0009111384111385457,0.5347886585626409,0.005039727068415267,0.5179765383890086
no_roi,37,0.7531253656253657,0.7537147537147537,0.000589388089388021,0.6870734758408701,0.005467252113482535,0.7780896713918112
no_fusion_transformer,37,0.7531253656253657,0.7558580065933008,0.0027326409679351293,0.8016843787266217,0.01679207197703192,0.39660989914752076
no_neuro_symbolic,37,0.7531253656253657,0.7725810225810225,0.019455656955656764,0.7937687969582925,0.05049162212931135,0.6273260411504213
