variant,full_mean,var_mean,delta,wilcoxon_p,n_paired
no_snn,0.5070255393841311,0.5120652664525464,0.005039727068415267,0.5179765383890086,37
no_graph,0.5070255393841311,0.39687394463392484,-0.11015159475020625,0.005503289005208496,37
no_neuro_symbolic,0.5070255393841311,0.5575171615134424,0.05049162212931135,0.6273260411504213,37
no_et,0.5070255393841311,0.4699085258931222,-0.03711701349100888,0.2789649507806645,37
no_roi,0.5070255393841311,0.5124927914976136,0.005467252113482535,0.7780896713918112,37
no_fusion_transformer,0.5070255393841311,0.523817611361163,0.01679207197703192,0.39660989914752076,37
no_contrastive,0.5070255393841311,0.47929029893339536,-0.02773524045073572,0.42072176914087644,37
no_mmd,0.5070255393841311,0.46991061237833615,-0.03711492700579494,0.21452526545009087,37
