variant,full_mean,var_mean,delta,wilcoxon_p,n_paired
no_snn,0.7531253656253657,0.7522142272142271,-0.0009111384111385457,0.5347886585626409,37
no_graph,0.7531253656253657,0.6963378963378963,-0.05678746928746936,0.0073039015571732275,37
no_neuro_symbolic,0.7531253656253657,0.7725810225810225,0.019455656955656764,0.7937687969582925,37
no_et,0.7531253656253657,0.7348870260634967,-0.018238339561869044,0.25472647171402363,37
no_roi,0.7531253656253657,0.7537147537147537,0.000589388089388021,0.6870734758408701,37
no_fusion_transformer,0.7531253656253657,0.7558580065933008,0.0027326409679351293,0.8016843787266217,37
no_contrastive,0.7531253656253657,0.7290101790101791,-0.024115186615186635,0.15869466197611393,37
no_mmd,0.7531253656253657,0.7314174564174564,-0.021707909207909326,0.3004071129278053,37
