model,avg_rank,nemenyi_cd,n_folds
INS-HDGS-CMT (EEG-only),2.7027027027027026,1.9750885029776752,37
ShallowConvNet,4.364864864864865,1.9750885029776752,37
CNN-BiLSTM,4.716216216216216,1.9750885029776752,37
EEGNet,4.824324324324325,1.9750885029776752,37
TSception,5.3108108108108105,1.9750885029776752,37
DeepConvNet,5.472972972972973,1.9750885029776752,37
CNN-LSTM,5.5675675675675675,1.9750885029776752,37
EEG Transformer,5.837837837837838,1.9750885029776752,37
GAT,6.202702702702703,1.9750885029776752,37
