Model,proposed,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,ece_mean,ece_std
INS-HDGS-CMT (EEG-only),True,0.7044140941199765,0.1968258055776798,0.6968834093834093,0.16274078659952848,0.6571863992044403,0.2574435896249904,0.39771024359567386,0.3118550786280347,0.8189029358672216,0.19336491769115668,0.8454591571779526,0.18429013915002765,0.37143766113404,0.13439968903916955
ShallowConvNet,False,0.6042087133998898,0.20329264405133957,0.6252517926362464,0.20764430763514755,0.527029210555882,0.30676858329158824,0.19684531764428173,0.39085942936768,0.659443920425313,0.2224034257839214,0.7150016506085076,0.2849564730233611,0.4919995026202165,0.21965406104541124
EEGNet,False,0.5760691669830326,0.18933589315860253,0.59693761342921,0.2035691709262209,0.48840444223666485,0.25131388571237756,0.18422669312517118,0.3406811448665022,0.6144700571426261,0.2480972001132312,0.6880743427578556,0.28430686131555644,0.4828853636617869,0.184985456802728
CNN-BiLSTM,False,0.5554473712561948,0.2166107339875329,0.5931118659585046,0.17173833349265683,0.4789518960571593,0.3084866692624944,0.12775649302824815,0.2916923298615287,0.6064294105087923,0.2561639316600923,0.6745281524994398,0.2884334687627657,0.4939084338462932,0.24552912579817018
DeepConvNet,False,0.5605887440446263,0.19311394288478267,0.5563364487209025,0.20818859422059383,0.4606525483460468,0.2585646187295382,0.11105450182096245,0.31463580948662806,0.5754660240719665,0.24173946889751932,0.647688878839092,0.28955905821587435,0.47732434942545304,0.2373491412715794
TSception,False,0.5374265731933799,0.16462601569626323,0.5428554755235427,0.17237773244505436,0.4631851431530777,0.2588581941564732,0.09607111662981678,0.30833859231437527,0.5876907379113261,0.24583179238360844,0.6443332975956055,0.2958675486522703,0.4937402133058791,0.25344327541847905
CNN-LSTM,False,0.5306670958981884,0.1915883901136927,0.5308217731537058,0.18434262716206895,0.448376427246236,0.2811150052554057,0.06406330586758333,0.33434457616398905,0.5566818249666389,0.27072252978465244,0.6384787192673991,0.30778191160941093,0.5123504729649062,0.2408086289655186
GAT,False,0.5307812441215803,0.23662106939151578,0.5211447963023593,0.18724563000525754,0.4025556065472031,0.29855409256502086,-0.031019136839891596,0.2355039502127597,0.5128603270312454,0.21896913947880484,0.6277114594247729,0.2682180195853715,0.3179479699098269,0.11977939678456463
EEG Transformer,False,0.4973901312661817,0.1722445980946288,0.516996242941621,0.18014242280152293,0.42959165406644395,0.26388317529379424,0.04240583655606219,0.2975895794950143,0.5615339227321521,0.21315875345248061,0.6216337993522599,0.266800828460361,0.5051229484442457,0.25484061790656576
