Model,proposed,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,ece_mean,ece_std
ET-GRU,False,0.8016340510563199,0.13691463814716998,0.772292932324445,0.17592885950571965,0.6850960931953856,0.2880745208157807,0.46450955259222715,0.35810417316631427,0.8424280787351015,0.1787856083600024,0.8693107814365157,0.2345378447444066,0.5058033219352314,0.21460973704119599
ET-LSTM,False,0.7898878140999989,0.16061316391301889,0.7564521263050674,0.18346311546198119,0.6652579578635528,0.3021538773109002,0.43459419955088097,0.3743749061327178,0.8054320970812566,0.1993558503668313,0.8452307329777782,0.24164366921681824,0.4981692619219353,0.21366292148342578
ET-Transformer,False,0.7560659520218344,0.1723752424189211,0.735334512592916,0.18969984802668127,0.6483266159941544,0.2960083395642781,0.3903456662430071,0.3725112575383585,0.8035374160486706,0.1788496706941082,0.8373230754872109,0.25009126805901416,0.5143931202068757,0.26037270762643105
