Model,proposed,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,ece_mean,ece_std
Cross-Attention,False,0.7910806630344445,0.16516635831815166,0.7752871603186728,0.18428226381944088,0.6995591986951434,0.3044646990837278,0.45721939597875216,0.3831761609399429,0.805083107918492,0.21086063412798522,0.8379490827127496,0.25017482398742935,0.5164167001001783,0.257309903696943
Multimodal Transformer,False,0.7766282795169349,0.16130819915207134,0.7580348048310233,0.175278957391915,0.6741566279564087,0.29906432768913344,0.424099128296641,0.3600543328915446,0.7804726273626333,0.21030884947417242,0.802963735475428,0.27460576337278975,0.513810750508888,0.2684822544491929
INS-HDGS-CMT w/o Neuro-Symbolic,False,0.7537978185037009,0.1797972338595324,0.7417251667251666,0.17124646823692144,0.6662509259160257,0.29720391715384253,0.48294805296511684,0.33885377185137433,0.8748765661055576,0.17671217556149002,0.9024255489492198,0.16569231761767222,0.4202316072890876,0.13188100904834588
Dual Transformer,False,0.7534382983962816,0.1712595080929023,0.7415860283507343,0.18754660903452092,0.6885533852030976,0.27031519661918396,0.4235580419397976,0.3790035914131252,0.7653175205868783,0.23788672894550267,0.8143352749346177,0.2683983595767021,0.5157594360917064,0.26639648169961466
INS-HDGS-CMT (full),True,0.7532347554406378,0.1818186381391768,0.7398049023049023,0.18607887158760422,0.6879836579428756,0.2747387369002173,0.4631089866077063,0.3639869576710437,0.9014208447506765,0.13573184196262383,0.9090176512843563,0.15994735686500103,0.4181881037164185,0.14330719447038348
DynamicGAT+ET Transformer,False,0.747419779877763,0.16948422321130013,0.7260725754948443,0.17444474934896212,0.6336240416108571,0.2899975866942099,0.404607136601346,0.34097923599120117,0.7638672081386668,0.1828026838632516,0.8045465792147001,0.24874171292558314,0.5189881262062201,0.25500121282827176
Late Fusion (CNN-LSTM+ET-LSTM),False,0.6771167013814073,0.18387049881999848,0.6645958888605947,0.18793052578337388,0.5744174476317333,0.309858940542992,0.2707221581647267,0.37548397186250176,0.6682445636984953,0.2562975492085815,0.7307021901512772,0.27988130140990936,0.49687175169104303,0.2337679204041303
