model,avg_rank,nemenyi_cd,n_folds
INS-HDGS-CMT (EEG-only),3.189189189189189,1.9750885029776752,37
ShallowConvNet,4.27027027027027,1.9750885029776752,37
EEGNet,4.472972972972973,1.9750885029776752,37
CNN-BiLSTM,4.864864864864865,1.9750885029776752,37
DeepConvNet,4.972972972972973,1.9750885029776752,37
TSception,5.391891891891892,1.9750885029776752,37
CNN-LSTM,5.418918918918919,1.9750885029776752,37
EEG Transformer,5.878378378378378,1.9750885029776752,37
GAT,6.54054054054054,1.9750885029776752,37
