model,n_folds,balanced_acc,f1,roc_auc,mcc,accuracy,ece,seconds
eegnet,2,0.6840909090909091,0.5888888888888889,0.7159090909090908,0.32768158386764695,0.6523809523809523,0.27584973417577285,14.1
shallow,2,0.6647727272727273,0.75,0.7522727272727273,0.42622828148204084,0.7952380952380952,0.38930073593344006,8.0
deep,2,0.5988636363636364,0.5333333333333333,0.5363636363636364,0.17658977811288815,0.5857142857142856,0.4991091562168939,10.4
cnn_bilstm,2,0.6,0.625,0.5636363636363636,0.2795782713352316,0.6476190476190476,0.2911983238799231,6.1
fusion_mlp,2,0.5,0.4230769230769231,0.8886363636363637,0.0,0.7238095238095238,0.3331287738113176,4.3
