model,n_folds,balanced_acc,f1,roc_auc,mcc,accuracy,ece,balanced_acc_cal,f1_cal,roc_auc_cal,mcc_cal,accuracy_cal,ece_cal,seconds
cross_attention,42,0.7752871603186728,0.6995591986951434,0.805083107918492,0.4572193959787521,0.7910806630344445,0.1993,0.7752871603186728,0.6995591986951434,0.80723730292983,0.4572193959787521,0.7910806630344445,0.1278,17496.3
mm_transformer,42,0.7580348048310233,0.6741566279564087,0.7804726273626333,0.424099128296641,0.7766282795169349,0.2125,0.7624990905453091,0.6737314578883815,0.7745202464102524,0.4297508529560646,0.7766282795169349,0.1018,10273.8
dynamicgat_et,42,0.7260725754948443,0.6336240416108571,0.7638672081386668,0.404607136601346,0.747419779877763,0.2239,0.7260725754948443,0.6336240416108571,0.7638672081386668,0.404607136601346,0.747419779877763,0.1092,14252.6
