model,n_folds,balanced_acc,f1,roc_auc,mcc,accuracy,ece,balanced_acc_cal,f1_cal,roc_auc_cal,mcc_cal,accuracy_cal,ece_cal,seconds
et_gru,42,0.772292932324445,0.6850960931953856,0.8424280787351015,0.4645095525922271,0.8016340510563199,0.0561,0.7782453132768259,0.6864849820842744,0.8404439517509745,0.4737658053499884,0.8040150034372722,0.09,7564.3
et_transformer,42,0.735334512592916,0.6483266159941544,0.8035374160486706,0.3903456662430071,0.7560659520218344,0.2322,0.735334512592916,0.6483266159941544,0.8015532890645435,0.3903456662430071,0.7560659520218344,0.1271,19878.5
