model,n_folds,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,accuracy_mean,accuracy_std,ece_mean,ece_std
INS-HDGS-CMT (full),37,0.7326240201240201,0.20005576346253928,0.6787309383960383,0.30552372815240125,0.8870787344421798,0.14526815980054034,0.4609099396085802,0.3805248576731284,0.7644081541140364,0.1833954510264963,0.48691664388164657,0.16379103683369806
fusion_mlp,37,0.7145764939882587,0.18842590426783318,0.6274286227553014,0.32119445473666614,0.862613028421852,0.19947107177125034,0.4252999573105819,0.3767671122400627,0.7287061706179354,0.19667711797869794,0.5179706173884016,0.20102717929286396
eegnet,37,0.6194780246250833,0.19135824292965387,0.5301006286807505,0.2569033601759487,0.615753762192838,0.27701856638777245,0.21116200702335863,0.3574754983125871,0.6048650541297602,0.1707524879705814,0.4876102992183009,0.18122542708443007
shallow,37,0.5933825250001721,0.18784585213079635,0.5007821702558544,0.255358969354418,0.6796421594845963,0.20386302118737243,0.172450868182136,0.3662102993449753,0.5785268057326881,0.19452239339040367,0.49902454640472993,0.18708077190720013
deep,37,0.5322141755965285,0.21556424585593398,0.43617944706873923,0.25733903876160513,0.5851954074012898,0.27624013355732174,0.06125368348780953,0.40061157239231676,0.5309554383083793,0.19381347432277368,0.5039837094809911,0.2089533850029749
cnn_bilstm,37,0.5224802820391056,0.16607351512933136,0.4079399331573244,0.3120033957922042,0.5896981999187881,0.23753107889425007,0.026985208069862744,0.34477233096698956,0.5300174123703535,0.19362256675988876,0.5192011837573745,0.20202851233145305
