model,n_folds,balanced_acc,f1,roc_auc,mcc,accuracy,ece,balanced_acc_cal,f1_cal,roc_auc_cal,mcc_cal,accuracy_cal,ece_cal,seconds
fusion_mlp,42,0.741844313482969,0.6150655717755987,0.834559098892082,0.3860867282009171,0.7530040862498846,0.1747,0.735891932530588,0.5991925559025829,0.8164751986653248,0.3710282631524962,0.7490358322816305,0.1186,10215.7
brain_gcn,42,0.5074924666836432,0.3614037012654524,0.504898493307857,-0.0453041287707089,0.5321181677799325,0.0852,0.5089805619217385,0.3652998051615563,0.504898493307857,-0.0415712213953754,0.5344991201608849,0.0723,9137.5
