model,n_folds,balanced_acc,f1,roc_auc,mcc,accuracy,ece,balanced_acc_cal,f1_cal,roc_auc_cal,mcc_cal,accuracy_cal,ece_cal,seconds
gat,42,0.5211447963023593,0.4025556065472031,0.5128603270312454,-0.0310191368398916,0.5307812441215803,0.0784,0.5290813042388672,0.4001746541662507,0.5128603270312454,-0.0097232513398936,0.5426860060263422,0.093,8099.1
et_lstm,42,0.7564521263050674,0.6652579578635527,0.8054320970812566,0.4345941995508809,0.7898878140999989,0.0905,0.7594283167812579,0.6627396428452377,0.7994797161288758,0.4375703900270714,0.7875068617190464,0.1202,9431.0
