strategy,bal_acc,bal_acc_std,mcc,f1,accuracy,n_folds,wilcoxon_p_vs_valopt,median_delta_vs_valopt
prevalence_match,0.7783634092457622,0.15105317995445358,0.5019243572398135,0.70508145152108,0.7226535520653168,37,0.33380148570739465,0.0
subject_median,0.7667606969077557,0.1555605570863834,0.4772047391130049,0.6928844406398587,0.7105548664372194,37,0.5713434696079653,0.0
fixed_0.5,0.7531253656253657,0.17778019847863427,0.5070255393841311,0.7147024555644172,0.7971886155709687,37,0.30525418681295013,0.0
val_opt,0.7398049023049023,0.18607887158760422,0.4631089866077063,0.6694582169378257,0.7532347554406378,37,,
