feature_set,pooled_auc,pooled_balacc,fold_auc_mean,fold_auc_sd,fold_balacc_mean,fold_balacc_sd,n_folds
EEG-5 (frontal band power),0.5051796750398724,0.5,0.5269913296775326,0.12866921742214457,0.5,0.0,42
ET-5 (gaze statistics),0.5711635267145135,0.5,0.5699685654897537,0.1264956821864453,0.5,0.0,42
ALL-10,0.5768839712918661,0.49921875,0.5806646169982914,0.09636899678684555,0.4980008254656142,0.011892702976496678,42
RULE score (old engagement index),0.4887472587719298,0.5,0.5299861828366121,0.11948397556799087,0.5,0.0,42
Total dwell on product (s),0.8530751594896332,0.6416915869218501,0.8801866729487816,0.10017205059689212,0.6053497460295665,0.0986645893844686,42
Dwell + n_runs + n_views + anchor run,0.8985421650717703,0.7340086722488037,0.9112907941079045,0.06666132767188528,0.7198115223470294,0.11661217408352328,42
