metric,model,full_mean,model_mean,median_delta,delta_ci_low,delta_ci_high,wilcoxon_p,p_holm,cliffs_delta,rank_biserial,is_strongest_baseline,avg_rank_full,avg_rank_model
balanced_acc,CNN-BiLSTM,0.7398049023049023,0.5224802820391056,0.3,0.14233045091500973,0.28828801084315786,2.816534010750288e-05,0.0004224801016125432,0.6040905770635501,0.8253119429590018,False,7.283783783783784,13.31081081081081
balanced_acc,CNN-LSTM,0.7398049023049023,0.5670589611766081,0.24999999999999994,0.08511250722647785,0.2563003380098968,0.0014497146433483056,0.017396575720179667,0.47114682249817386,0.6158730158730159,False,7.283783783783784,11.554054054054054
balanced_acc,Cross-Attention,0.7398049023049023,0.7326567973626797,-0.0625,-0.06813643762173174,0.08255034446210915,0.9278492010911891,1.0,0.0007304601899196494,0.040336134453781515,False,7.283783783783784,7.0
balanced_acc,DeepConvNet,0.7398049023049023,0.5322141755965285,0.19999999999999996,0.11578159089188503,0.301647112161818,0.0004906224963537548,0.006378092452598812,0.5076698319941563,0.6571834992887624,False,7.283783783783784,12.472972972972974
balanced_acc,Dual Transformer,0.7398049023049023,0.7820066724478488,0.0,-0.09907413764031411,0.013710314592667453,0.260377913733311,1.0,-0.12490869247626005,-0.25057471264367814,True,7.283783783783784,6.027027027027027
balanced_acc,DynamicGAT+ET Transformer,0.7398049023049023,0.7601942374001197,0.0,-0.07737177088280028,0.03514652544064308,0.6776110344265932,1.0,-0.07523739956172389,-0.09113300492610837,False,7.283783783783784,6.702702702702703
balanced_acc,EEG Transformer,0.7398049023049023,0.5555921754451166,0.25,0.10307348553672083,0.2638012413196236,0.0004501172620821597,0.006301641669150236,0.5127830533235939,0.6771771771771772,False,7.283783783783784,11.77027027027027
balanced_acc,EEGNet,0.7398049023049023,0.6194780246250833,0.08333333333333337,0.03909679565929566,0.2046567164949518,0.020557808339919034,0.18502027505927132,0.35719503287070853,0.4523809523809524,False,7.283783783783784,10.5
balanced_acc,ET-GRU,0.7398049023049023,0.7713202602908484,0.0,-0.09790123942697469,0.03218088218088219,0.7340806036752889,1.0,-0.09130752373995617,-0.0873440285204991,False,7.283783783783784,6.283783783783784
balanced_acc,ET-LSTM,0.7398049023049023,0.7622204901616666,0.0,-0.0896250189264895,0.04106589257324552,0.6946720383791066,1.0,-0.08254200146092038,-0.09274193548387097,False,7.283783783783784,6.527027027027027
balanced_acc,ET-Transformer,0.7398049023049023,0.7432299086710851,0.0,-0.06903694278694276,0.06118030105162459,0.8092202425860213,1.0,-0.01095690284879474,0.05378151260504202,False,7.283783783783784,6.972972972972973
balanced_acc,Early-Fusion MLP,0.7398049023049023,0.7145764939882587,0.0,-0.04204162408206524,0.09282387309960842,0.5358436228371437,1.0,0.08035062089116143,0.14623655913978495,False,7.283783783783784,7.837837837837838
balanced_acc,GAT,0.7398049023049023,0.4839532618944383,0.24999999999999994,0.18218317056552347,0.32970732764850413,4.482273339290841e-06,7.61986467679443e-05,0.7027027027027027,0.9055258467023173,False,7.283783783783784,14.14864864864865
balanced_acc,Late Fusion (CNN-LSTM+ET-LSTM),0.7398049023049023,0.6096222272692859,0.125,0.03806027355659709,0.22041875073125072,0.010538669596551913,0.10538669596551913,0.33820306793279764,0.4890756302521008,False,7.283783783783784,10.621621621621621
balanced_acc,Multimodal Transformer,0.7398049023049023,0.7352006896124542,0.0,-0.06119552612199671,0.06586583742833733,0.8384793891903097,1.0,0.018261504747991233,0.018145161290322582,False,7.283783783783784,7.513513513513513
balanced_acc,ShallowConvNet,0.7398049023049023,0.5933825250001721,0.15000000000000002,0.06313557947749125,0.22855343335122738,0.0016512465318440175,0.018163711850284193,0.4156318480642805,0.6003787878787878,False,7.283783783783784,11.567567567567568
balanced_acc,TSception,0.7398049023049023,0.5290603342073931,0.25,0.13656779081411435,0.2855037113125348,2.375390349964131e-05,0.000380062455994261,0.5661066471877283,0.7965860597439545,False,7.283783783783784,12.905405405405405
mcc,CNN-BiLSTM,0.4631089866077064,0.026985208069862744,0.6390096504226939,0.2871997021416941,0.5756469591540974,2.470073629192793e-05,0.0003952117806708469,0.6040905770635501,0.8324420677361853,False,7.337837837837838,13.256756756756756
mcc,CNN-LSTM,0.4631089866077064,0.13077212459990056,0.43915503282684,0.17201455330083082,0.4868753069094044,0.0009030015837618913,0.010836019005142696,0.4806428049671293,0.6444444444444445,False,7.337837837837838,11.756756756756756
mcc,Cross-Attention,0.4631089866077064,0.46814007163728577,-0.0905356105187003,-0.1517953165223331,0.1395729105941028,0.8919811130562764,1.0,-0.015339663988312637,-0.010084033613445379,False,7.337837837837838,7.094594594594595
mcc,DeepConvNet,0.4631089866077064,0.06125368348780953,0.43643578047198484,0.22820202365912381,0.5787825779064495,0.00027701361030227616,0.0038781905442318663,0.5215485756026297,0.6856330014224751,False,7.337837837837838,12.64864864864865
mcc,Dual Transformer,0.4631089866077064,0.5648317560309504,0.0,-0.21067145839439916,0.0026548497392285962,0.14083340953923262,1.0,-0.15339663988312638,-0.3563218390804598,True,7.337837837837838,5.891891891891892
mcc,DynamicGAT+ET Transformer,0.4631089866077064,0.5219040972058346,0.0,-0.17587340604730275,0.05247360717576004,0.5355236353552052,1.0,-0.10299488677867057,-0.11330049261083744,False,7.337837837837838,6.5
