feature_set,pooled_auc,pooled_balacc,fold_auc_mean,fold_auc_sd,fold_balacc_mean,fold_balacc_sd,n_folds
EEG-5 (frontal band power),0.40889816471211826,0.5066090240508845,0.43843320466796076,0.2622902618041255,0.5015243902439024,0.00976086011803788,41
ET-5 (gaze statistics),0.6201550387596899,0.5051182667461738,0.6736603843311161,0.24960545634063103,0.5148780927744343,0.10593121166964786,41
ALL-10,0.5956403630822236,0.48881932021466906,0.6486624232813257,0.2521495691811096,0.5008842275610568,0.08968591258393514,41
RULE score (old engagement index),0.22507122507122507,0.5,0.31794238112835677,0.23391754337699455,0.5,0.0,41
Dominant-product dwell fraction,0.659130060292851,0.5459153249850924,0.7142454090624822,0.24518544265308115,0.5560886268203342,0.15845241577921487,41
