baseline,ref_mean,model_mean,median_delta,wilcoxon_p,cliffs_delta,p_holm
GAT,0.6968834093834093,0.48383703604291833,0.19999999999999996,1.573646953337416e-05,0.7048940832724616,0.00012589175626699327
EEG Transformer,0.6968834093834093,0.5288382920735862,0.16666666666666685,0.0006488542334120454,0.5288531775018261,0.004541979633884317
CNN-LSTM,0.6968834093834093,0.5339143765614353,0.15000000000000002,0.0017382586767012186,0.46092037983929873,0.008702376274367426
TSception,0.6968834093834093,0.5467162540691952,0.09999999999999998,0.0014503960457279044,0.4390065741417093,0.008702376274367426
CNN-BiLSTM,0.6968834093834093,0.5735195183724595,0.15000000000000002,0.006304453503963967,0.4127100073046019,0.025217814015855867
DeepConvNet,0.6968834093834093,0.5660944844768374,0.17142857142857149,0.006607689941795942,0.3754565376186998,0.025217814015855867
EEGNet,0.6968834093834093,0.6062299121122651,0.125,0.01973428929212712,0.266617969320672,0.03946857858425424
ShallowConvNet,0.6968834093834093,0.6179928113751644,0.09999999999999998,0.07499651319944954,0.21840759678597516,0.07499651319944954
