subject,product,dwell_s,bought
S01,1,1.6166666666666667,0
S01,2,1.7416666666666667,0
S01,3,1.5583333333333333,0
S01,4,18.525000000000002,1
S01,5,3.3083333333333336,0
S01,6,8.333333333333334,0
S01,7,1.1500000000000001,0
S01,8,3.7,1
S01,9,1.8916666666666666,0
S01,10,0.9416666666666667,0
S01,11,1.3,0
S01,12,0.6416666666666666,0
S01,13,2.5,0
S01,14,2.9166666666666665,0
S01,15,2.1416666666666666,0
S01,16,5.716666666666667,1
S01,17,0.8666666666666667,0
S01,18,0.7916666666666667,0
S01,19,1.5083333333333333,0
S01,20,3.1083333333333334,0
S01,21,1.8250000000000002,0
S01,22,1.6416666666666666,0
S01,23,1.4583333333333335,0
S01,24,2.475,1
S01,25,1.375,0
S01,26,1.2416666666666667,0
S01,27,0.6083333333333334,0
S01,28,0.8583333333333334,0
S01,29,1.4583333333333335,0
S01,30,3.5583333333333336,0
S01,31,3.0166666666666666,0
S01,32,2.3,0
S01,33,2.6,0
S01,34,2.9000000000000004,1
S01,35,1.0166666666666666,0
S01,36,1.1,0
S01,37,2.091666666666667,0
S01,38,1.325,0
S01,39,1.025,0
S01,40,2.05,0
S01,41,1.2166666666666668,0
S01,42,0.9916666666666667,0
S01,43,1.45,0
S01,44,0.2833333333333333,0
S01,45,0.38333333333333336,0
S01,46,0.7,0
S01,47,1.0583333333333333,0
S01,48,0.5416666666666666,0
S01,49,3.2416666666666667,1
S01,50,1.3833333333333333,0
S01,51,0.8166666666666667,0
S01,52,0.9333333333333333,0
S01,53,0.8416666666666667,0
S01,54,0.7416666666666667,0
S01,55,0.85,0
S01,56,1.0083333333333333,0
S01,57,0.85,0
S01,58,1.2833333333333332,0
S01,59,3.6416666666666666,1
S01,60,1.2666666666666666,0
S01,61,3.8666666666666663,1
S01,62,0.5166666666666667,0
S01,63,0.4,0
S01,64,1.65,0
S01,65,2.6333333333333333,1
S01,66,0.325,0
S01,67,1.6083333333333332,0
S01,68,0.55,0
S01,69,0.675,0
S01,70,3.6333333333333333,1
S01,71,0.44166666666666665,0
S01,72,1.025,0
S01,73,0.30833333333333335,0
S01,74,0.09166666666666666,0
S01,75,0.16666666666666666,0
S01,76,0.48333333333333334,0
S01,77,0.525,0
S01,78,0.225,0
S01,79,0.4083333333333333,0
S01,80,0.24166666666666667,0
S01,81,0.6833333333333333,0
S01,82,0.3416666666666667,0
S01,83,0.016666666666666666,0
S01,84,0.2833333333333333,0
S01,85,0.2,0
S01,86,0.5,0
S01,87,0.25,0
S01,88,1.825,0
S01,89,0.25,0
S01,90,0.0,0
S01,91,0.7916666666666667,0
S01,92,0.23333333333333334,0
S01,93,0.0,0
S01,94,1.1,0
S01,95,0.325,0
S01,96,0.125,0
S01,97,0.0,0
S01,98,0.0,0
S01,99,0.175,0
S01,100,0.0,0
S01,101,0.7583333333333333,0
S01,102,1.7083333333333335,0
S01,103,0.2,0
S01,104,0.025,0
S01,105,0.6166666666666667,0
S01,106,0.4583333333333333,0
S01,107,0.2,0
S01,108,0.0,0
S01,109,0.016666666666666666,0
S01,110,0.20833333333333334,0
S01,111,1.2083333333333333,0
S01,112,0.75,0
S01,113,0.775,0
S01,114,4.258333333333333,1
S01,115,0.8916666666666666,0
S01,116,0.41666666666666663,0
S01,117,0.35,0
S01,118,0.24166666666666667,0
S01,119,0.008333333333333333,0
S01,120,0.025,0
S01,121,0.30833333333333335,0
S01,122,0.008333333333333333,0
S01,123,0.24166666666666667,0
S01,124,0.0,0
S01,125,0.48333333333333334,0
S01,126,0.325,0
S01,127,0.26666666666666666,0
S01,128,0.5083333333333333,0
S01,129,0.18333333333333332,0
S01,130,0.15833333333333333,0
S01,131,0.016666666666666666,0
S01,132,0.4916666666666667,0
S01,133,0.44166666666666665,0
S01,134,0.016666666666666666,0
S01,135,0.39166666666666666,0
S01,136,0.8916666666666666,0
S01,137,0.8166666666666667,0
S01,138,0.975,0
S01,139,1.0916666666666668,0
S01,140,0.4083333333333333,0
S01,141,0.6083333333333333,0
S01,142,2.0833333333333335,1
S01,143,0.4083333333333333,0
S01,144,0.4166666666666667,0
S02,1,2.783333333333333,0
S02,2,2.4916666666666667,0
S02,3,2.3833333333333333,0
S02,4,1.6083333333333334,0
S02,5,4.666666666666666,0
S02,6,5.408333333333333,1
S02,7,2.35,0
S02,8,2.7666666666666666,0
S02,9,4.658333333333333,1
S02,10,1.8833333333333333,0
S02,11,3.1833333333333336,0
S02,12,1.0083333333333333,0
S02,13,2.5666666666666664,0
S02,14,3.4166666666666665,0
S02,15,1.4166666666666667,0
S02,16,1.7333333333333332,0
S02,17,1.45,0
S02,18,0.5333333333333333,0
S02,19,3.3916666666666666,0
S02,20,0.05,0
S02,21,1.2,0
S02,22,1.2333333333333334,0
S02,23,6.016666666666667,1
S02,24,0.9166666666666666,0
S02,25,1.7666666666666666,0
S02,26,1.1833333333333333,0
S02,27,0.5833333333333334,0
S02,28,0.016666666666666666,0
S02,29,0.6833333333333333,0
S02,30,2.591666666666667,0
S02,31,1.6416666666666666,0
S02,32,1.3083333333333333,0
S02,33,1.2333333333333334,0
S02,34,3.3916666666666666,1
S02,35,1.7166666666666666,0
S02,36,0.041666666666666664,0
S02,37,0.8333333333333334,0
S02,38,1.325,0
S02,39,0.9333333333333333,0
S02,40,0.8916666666666667,0
S02,41,1.2,0
S02,42,0.6916666666666667,0
S02,43,0.05,0
S02,44,0.03333333333333333,0
S02,45,0.875,0
S02,46,1.35,0
S02,47,5.258333333333334,1
S02,48,2.2416666666666667,0
S02,49,1.5166666666666666,0
S02,50,2.5,1
S02,51,0.4666666666666667,0
S02,52,0.625,0
S02,53,0.275,0
S02,54,1.1666666666666667,0
S02,55,2.5416666666666665,0
S02,56,2.6,0
S02,57,0.975,0
S02,58,3.566666666666667,0
S02,59,7.025,1
S02,60,1.5166666666666666,0
S02,61,1.35,0
S02,62,1.0583333333333333,0
S02,63,0.6833333333333333,0
S02,64,0.23333333333333334,0
S02,65,0.35833333333333334,0
S02,66,0.025,0
S02,67,1.0916666666666666,0
S02,68,2.533333333333333,0
S02,69,1.5666666666666667,0
S02,70,0.008333333333333333,0
S02,71,0.13333333333333333,0
S02,72,5.275,1
S02,73,1.3083333333333333,0
S02,74,0.6666666666666666,0
S02,75,1.4166666666666667,0
S02,76,0.775,0
S02,77,1.0166666666666666,0
S02,78,1.2416666666666667,0
S02,79,0.4583333333333333,0
S02,80,0.008333333333333333,0
S02,81,0.025,0
S02,82,0.6083333333333333,0
S02,83,1.475,0
S02,84,1.6083333333333334,0
S02,85,5.433333333333334,1
S02,86,1.0416666666666667,0
S02,87,2.275,0
S02,88,4.016666666666667,1
S02,89,1.125,0
S02,90,0.7,0
S02,91,0.625,0
S02,92,0.4166666666666667,0
S02,93,0.9666666666666667,0
S02,94,1.025,0
S02,95,0.35833333333333334,0
S02,96,0.75,0
S02,97,0.875,0
S02,98,2.533333333333333,1
S02,99,0.8666666666666667,0
S02,100,1.3916666666666666,0
S02,101,0.5583333333333333,0
S02,102,0.016666666666666666,0
S02,103,3.9833333333333334,1
S02,104,2.825,0
S02,105,0.49166666666666664,0
S02,106,0.925,0
S02,107,0.6333333333333333,0
S02,108,0.5833333333333334,0
S02,109,1.0666666666666667,0
S02,110,0.05,0
S02,111,4.25,1
S02,112,1.4,0
S02,113,0.49166666666666664,0
S02,114,2.55,0
S02,115,0.39166666666666666,0
S02,116,0.8333333333333334,0
S02,117,0.3,0
S02,118,0.425,0
S02,119,0.0,0
S02,120,0.008333333333333333,0
S02,121,0.775,0
S02,122,0.008333333333333333,0
S02,123,0.0,0
S02,124,1.1333333333333333,0
S02,125,0.45,0
S02,126,0.4583333333333333,0
S02,127,0.0,0
S02,128,0.925,0
S02,129,0.4083333333333333,0
S02,130,0.6,0
S02,131,0.6333333333333333,0
S02,132,0.4666666666666667,0
S02,133,0.8666666666666667,0
S02,134,0.0,0
S02,135,0.8083333333333333,0
S02,136,3.475,1
S02,137,1.0333333333333334,0
S02,138,2.2916666666666665,0
S02,139,1.5416666666666667,0
S02,140,2.175,0
S02,141,6.916666666666667,1
S02,142,0.7833333333333333,0
S02,143,0.49166666666666664,0
S02,144,0.5833333333333334,0
S03,1,2.3,0
S03,2,1.5,0
S03,3,1.025,0
S03,4,0.9916666666666667,0
S03,5,0.5583333333333333,0
S03,6,0.8666666666666667,0
S03,7,0.9666666666666667,0
S03,8,1.45,1
S03,9,1.1333333333333333,0
S03,10,1.4,0
S03,11,0.26666666666666666,0
S03,12,0.6416666666666667,0
S03,13,0.7416666666666667,0
S03,14,0.95,0
S03,15,0.7166666666666667,0
S03,16,2.55,1
S03,17,0.7666666666666667,0
S03,18,0.5666666666666667,0
S03,19,0.39166666666666666,0
S03,20,0.9,0
S03,21,1.0916666666666666,0
S03,22,0.8,0
S03,23,2.1,1
S03,24,0.9916666666666667,0
S03,25,1.05,0
S03,26,0.7833333333333333,0
S03,27,2.3833333333333333,1
S03,28,0.475,0
S03,29,0.65,0
S03,30,1.15,0
S03,31,0.65,0
S03,32,0.575,0
S03,33,0.44166666666666665,0
S03,34,2.2,1
S03,35,1.1833333333333333,0
S03,36,1.8583333333333334,1
S03,37,0.6833333333333333,0
S03,38,0.5666666666666667,0
S03,39,1.1333333333333333,0
S03,40,0.725,0
S03,41,1.175,0
S03,42,0.875,0
S03,43,0.6833333333333333,0
S03,44,0.9083333333333333,0
S03,45,0.36666666666666664,0
S03,46,0.5333333333333333,0
S03,47,0.4,0
S03,48,0.425,0
S03,49,1.9666666666666666,0
S03,50,1.0333333333333334,0
S03,51,2.433333333333333,1
S03,52,1.0916666666666666,1
S03,53,1.4833333333333334,0
S03,54,0.5416666666666666,0
S03,55,1.4833333333333334,0
S03,56,0.8166666666666667,0
S03,57,1.2,0
S03,58,0.6666666666666666,0
S03,59,2.433333333333333,1
S03,60,1.4916666666666667,0
S03,61,0.825,0
S03,62,0.8583333333333333,0
S03,63,1.1083333333333334,0
S03,64,2.408333333333333,0
S03,65,0.6166666666666667,0
S03,66,0.5083333333333333,0
S03,67,0.75,0
S03,68,0.8416666666666667,0
S03,69,0.31666666666666665,0
S03,70,0.25,0
S03,71,0.8166666666666667,0
S03,72,1.8666666666666667,1
S03,73,0.26666666666666666,0
S03,74,0.6,0
S03,75,0.49166666666666664,0
S03,76,0.6,0
S03,77,0.45,0
S03,78,0.875,0
S03,79,0.9583333333333334,0
S03,80,0.8833333333333333,0
S03,81,0.875,0
S03,82,0.625,0
S03,83,0.375,0
S03,84,0.55,0
S03,85,0.15833333333333333,0
S03,86,0.8583333333333333,0
S03,87,0.7583333333333333,1
S03,88,1.375,0
S03,89,2.091666666666667,1
S03,90,0.8833333333333333,0
S03,91,0.95,0
S03,92,0.6416666666666667,0
S03,93,0.3333333333333333,0
S03,94,0.225,0
S03,95,0.49166666666666664,0
S03,96,0.4583333333333333,0
S03,97,1.3666666666666667,0
S03,98,0.5,0
S03,99,1.6583333333333334,0
S03,100,0.5166666666666667,0
S03,101,0.25833333333333336,0
S03,102,0.5416666666666666,0
S03,103,2.533333333333333,1
S03,104,1.4166666666666667,0
S03,105,0.35,0
S03,106,0.23333333333333334,0
S03,107,0.13333333333333333,0
S03,108,0.625,0
S03,109,1.5166666666666666,0
S03,110,1.15,0
S03,111,1.75,1
S03,112,0.8416666666666667,0
S03,113,0.4,0
S03,114,0.6416666666666667,0
S03,115,0.4583333333333333,0
